"filename", "language", "JSON", "C#", "XML", "Markdown", "comment", "blank", "total"
"d:\Programowanie\Unity\MMOG\bin\Release\netcoreapp3.1\MMOG-Server.runtimeconfig.dev.json", "JSON", 10, 0, 0, 0, 0, 0, 10
"d:\Programowanie\Unity\MMOG\bin\Release\netcoreapp3.1\MMOG-Server.runtimeconfig.json", "JSON", 9, 0, 0, 0, 0, 0, 9
"d:\Programowanie\Unity\MMOG\bin\Release\netcoreapp3.1\win-x64\MMOG-Server.deps.json", "JSON", 35, 0, 0, 0, 0, 0, 35
"d:\Programowanie\Unity\MMOG\bin\Release\netcoreapp3.1\win-x64\MMOG-Server.runtimeconfig.dev.json", "JSON", 10, 0, 0, 0, 0, 0, 10
"d:\Programowanie\Unity\MMOG\bin\Release\netcoreapp3.1\win-x64\MMOG-Server.runtimeconfig.json", "JSON", 9, 0, 0, 0, 0, 0, 9
"d:\Programowanie\Unity\MMOG\obj\Debug\netcoreapp3.1\MMOG-Server.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\Programowanie\Unity\MMOG\obj\Debug\netcoreapp3.1\MMOG.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"d:\Programowanie\Unity\MMOG\obj\MMOG-Server.csproj.nuget.dgspec.json", "JSON", 71, 0, 0, 0, 0, 0, 71
"d:\Programowanie\Unity\MMOG\obj\MMOG-Server.csproj.nuget.g.props", "XML", 0, 0, 15, 0, 0, 0, 15
"d:\Programowanie\Unity\MMOG\obj\MMOG-Server.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 6
"d:\Programowanie\Unity\MMOG\obj\MMOG.csproj.nuget.dgspec.json", "JSON", 65, 0, 0, 0, 0, 0, 65
"d:\Programowanie\Unity\MMOG\obj\MMOG.csproj.nuget.g.props", "XML", 0, 0, 15, 0, 0, 0, 15
"d:\Programowanie\Unity\MMOG\obj\MMOG.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 6
"d:\Programowanie\Unity\MMOG\obj\Release\MMOG-Server.1.0.0.nuspec", "XML", 0, 0, 20, 0, 0, 0, 20
"d:\Programowanie\Unity\MMOG\obj\Release\netcoreapp3.1\MMOG-Server.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\Programowanie\Unity\MMOG\obj\Release\netcoreapp3.1\win-x64\MMOG-Server.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\Programowanie\Unity\MMOG\obj\project.assets.json", "JSON", 138, 0, 0, 0, 0, 0, 138
"d:\Programowanie\Unity\MMOG\obj\publish\win-x64\MMOG-Server.csproj.nuget.dgspec.json", "JSON", 90, 0, 0, 0, 0, 0, 90
"d:\Programowanie\Unity\MMOG\obj\publish\win-x64\MMOG-Server.csproj.nuget.g.props", "XML", 0, 0, 15, 0, 0, 0, 15
"d:\Programowanie\Unity\MMOG\obj\publish\win-x64\MMOG-Server.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 6
"d:\Programowanie\Unity\MMOG\obj\publish\win-x64\project.assets.json", "JSON", 168, 0, 0, 0, 0, 0, 168
"d:\Programowanie\Unity\MMOG\packages\Newtonsoft.Json.13.0.1\LICENSE.md", "Markdown", 0, 0, 0, 16, 0, 5, 21
"d:\Programowanie\Unity\MMOG\packages\Newtonsoft.Json.13.0.1\lib\net20\Newtonsoft.Json.xml", "XML", 0, 0, 10335, 0, 0, 1, 10336
"d:\Programowanie\Unity\MMOG\packages\Newtonsoft.Json.13.0.1\lib\net35\Newtonsoft.Json.xml", "XML", 0, 0, 9483, 0, 0, 1, 9484
"d:\Programowanie\Unity\MMOG\packages\Newtonsoft.Json.13.0.1\lib\net40\Newtonsoft.Json.xml", "XML", 0, 0, 9683, 0, 0, 1, 9684
"d:\Programowanie\Unity\MMOG\packages\Newtonsoft.Json.13.0.1\lib\net45\Newtonsoft.Json.xml", "XML", 0, 0, 11305, 0, 0, 1, 11306
"d:\Programowanie\Unity\MMOG\packages\Newtonsoft.Json.13.0.1\lib\netstandard1.0\Newtonsoft.Json.xml", "XML", 0, 0, 10992, 0, 0, 2, 10994
"d:\Programowanie\Unity\MMOG\packages\Newtonsoft.Json.13.0.1\lib\netstandard1.3\Newtonsoft.Json.xml", "XML", 0, 0, 11114, 0, 0, 2, 11116
"d:\Programowanie\Unity\MMOG\packages\Newtonsoft.Json.13.0.1\lib\netstandard2.0\Newtonsoft.Json.xml", "XML", 0, 0, 11280, 0, 0, 1, 11281
"Total", "-", 820, 1539, 74307, 16, 394, 323, 77399
